,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
0,0,cream cheese,51,5,2.9,1.3,0.2,0.8,0.5
1,1,neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7
2,2,requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.000,0.9,3.4
3,3,ricotta cheese,30,2,1.3,0.5,0.002,1.5,0.091
4,4,cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9
5,5,cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1
6,6,gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1
7,7,cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1
8,8,parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046
9,9,romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088
10,10,parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075
11,11,port salut cheese,465,37.2,22,12.3,1,0.8,0.8
12,12,swiss cheese,98,7.7,4.6,2,0.3,0.4,0
13,13,goat cheese hard,128,10.1,7,2.3,0.2,0.6,0.6
14,14,gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6
15,15,pepper jack cheese lucerne,75,6,4,0,0,0,0
16,16,caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0
17,17,gjetost cheese,1058,67,43.5,17.9,2.1,96.8,0
18,18,tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0
19,19,goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031
20,20,brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2
21,21,asadero cheese,402,31.9,20.3,9.1,1,3.2,3.2
22,22,camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1
23,23,provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4,0.6
24,24,roquefort cheese,314,26,16.4,7.2,1.1,1.7,0
25,25,queso blanco cheese,366,28.7,16.1,7.6,1.4,3,2.1
26,26,queso seco cheese,315,23.6,13.3,6.2,1.2,2,0.5
27,27,goat cheese soft,75,6,4.1,1.4,0.1,0,0.3
28,28,mozzarella cheese,90,6.6,4.2,2,0.2,0.7,0
29,29,chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3
30,30,limburger cheese,98,8.2,5,2.6,0.1,0.1,0.1
31,31,muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5
32,32,queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8
33,33,brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1
34,34,pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9
35,35,mexican cheese,316,21.7,13,5.6,0.8,3.8,0.6
36,36,feta cheese,80,6.4,4,1.4,0.2,1.2,0
37,37,mozzarella cheese fat free,159,0,0,0,0,4,1.7
38,38,provolone cheese,463,35.1,22.5,9.8,1,2.8,0.7
39,39,anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1
40,40,honey,64,0,0,0,0,17.3,17.2
41,41,apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1
42,42,fruit jam,56,0.095,0.021,0.065,0,13.8,9.7
43,43,chocolate hazelnut spread,100,5.5,5.3,0,0,11.5,10
44,44,peanut butter,88,7.4,1.4,3.1,1.7,3.6,1
45,45,peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5
46,46,chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3
47,47,cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4
48,48,tahini,86,7.2,1,2.7,3.2,3.9,0
49,49,orange marmalade,49,0,0,0,0,13.3,12
50,50,american cheese spread,46,3.4,2.1,1,0.062,1.4,1.2
51,51,apricot jam,48,0.010,0.042,0,0,12.9,8.7
52,52,chunky peanut butter,94,8,1.2,3.7,2.2,3.5,1.3
53,53,ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0
54,54,chicken and rice casserole homade,27,1,0,0,0,2.4,0
55,55,picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0
56,56,corn tamale,309,12,4.4,4,2.6,44.3,12.3
57,57,baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0
58,58,chinese egg roll,223,10.6,1.9,2.7,5,24.3,0
59,59,butter croissant,231,12,6.6,3.1,0.6,26.1,6.4
60,60,enchilada with cheese beef,323,17.6,9,6.1,1.4,30.5,0
61,61,corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8
62,62,biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5
63,63,bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7
64,64,quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4
65,65,corn rice,110,0.3,0.020,0.000,0.1,25.2,3
66,66,kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3
67,67,beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6
68,68,frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0
69,69,burrito with beef,285,8.1,1.7,1.7,4,43.9,4.1
70,70,crispy chicken sandwich,350,17.6,3.3,4,8.4,33.2,3.9
71,71,enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6
72,72,pork egg roll,189,6.1,1.3,2,2.1,25.1,4.5
73,73,corn on the cob with butter,155,3.4,1.6,1,0.6,31.9,0
74,74,pancakes with butter syrup,260,7,2.9,2.6,1,45.4,0
75,75,burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0
76,76,scrambled eggs,100,7.6,2.9,2.8,0.9,1,0.8
