food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,food_category,Protein,Dietary Fiber,Sodium,Cholesterol,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,is_vegan,is_vegetarian,is_eggetarian,is_non_veg,is_high_protein,is_low_carb,is_high_fiber,protein_per_cal,fiber_per_cal,sugar_per_cal,fat_per_cal
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,1.411764705882353,0.0,0.0392156862745098,0.8823529411764706
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.33488372093023255,0.0,0.05023255813953489,0.8120930232558139
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.5714285714285714,0.0,0.27755102040816326,0.6612244897959183
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,2.4,0.0,0.012133333333333333,0.6
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,2.4,0.0,0.12000000000000001,0.69
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,3.789473684210526,0.0,0.21052631578947367,0.09473684210526316
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6206896551724138,0.0,0.003448275862068966,0.7060344827586206
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6371681415929203,0.0,0.003539823008849558,0.7407079646017699
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,1.0140845070422535,0.0,0.0025915492957746477,0.5704225352112676
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,3.789473684210526,0.0,0.018526315789473682,0.6157894736842106
